HTTrack3.49-2+htsswf+htsjava launched on Fri, 08 Jul 2022 11:44:03 at http://103.139.171.5:5001/livetv.php +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qYC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -Y http://103.139.171.5:5001/livetv.php -O1 "C:\My Web Sites\new" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:46:47	Error: 	"Not Found" (404) at link 103.139.171.5:5001/ab (from 103.139.171.5:5001/livetv.php)
11:47:23	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Andy_Haryana&q=800&e=junk.m3u8
11:47:56	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Surya_Cinema&q=800&e=junk.m3u8
11:48:00	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=ABZY_Dhakad&q=800&e=junk.m3u8
11:50:14	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=K_News_India&q=800&e=junk.m3u8
11:50:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Channel_One_News&q=800&e=junk.m3u8
11:51:08	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=AB_News&q=800&e=junk.m3u8
11:51:36	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Toonami&q=800&e=junk.m3u8
11:51:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Jio_Cricket_5_HD&q=1200&e=junk.m3u8
11:52:10	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Jio_Football_Kannada_HD&q=1200&e=junk.m3u8
11:52:18	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Jio_Football_Telugu_HD&q=1200&e=junk.m3u8
11:52:32	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Sony_Six_HD_Bengali&q=800&e=junk.m3u8
11:53:54	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Insight&q=800&e=junk.m3u8
11:54:53	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Darshan_24&q=800&e=junk.m3u8
11:55:02	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Katyayani&q=800&e=junk.m3u8
11:55:18	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Amma&q=800&e=junk.m3u8
11:55:20	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=DharmaGranth_TV&q=800&e=junk.m3u8
11:55:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Rajyoga_TV&q=800&e=junk.m3u8
11:55:36	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Surya_Bhakti&q=800&e=junk.m3u8
11:55:46	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Sarvamangala&q=800&e=junk.m3u8
11:55:52	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Siddhivinayak&q=800&e=junk.m3u8
11:56:25	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Iskon_Temples_New&q=800&e=junk.m3u8
11:56:30	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Braj_Darshan&q=800&e=junk.m3u8
11:56:58	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Millionlights&q=800&e=junk.m3u8
11:58:08	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=_evidya_8&q=800&e=junk.m3u8
11:58:15	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Manipur_Educational_Channel&q=800&e=junk.m3u8
11:58:30	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Meluha&q=800&e=junk.m3u8
11:58:47	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Mahawani_English&q=800&e=junk.m3u8
